ORIGIN,FIELD,TREATMENT,ACCESSION,Tag,Tag,Tag,Random Number,AN_SEM,AN_N1,AN_N2,AN_N3,AN_N4,AN_N5,AN_N6,AN_N7,AN_N8,NRN_SEM,NRN_N1,NRN_N2,NRN_N3,NRN_N4,NRN_N5,NRN_N6,NRN_N7,NRN_N8,Dia_N1,Dia_N2,Dia_N3,Dia_N4,Dia_N5,Dia_N6,Dia_N7,Dia_N8,Max_BF_N1,Max_BF_N2,Max_BF_N3,Max_BF_N4,Max_BF_N5,Max_BF_N6,Max_BF_N7,Max_BF_N8,Min_BF_N1,Min_BF_N2,Min_BF_N3,Min_BF_N4,Min_BF_N5,Min_BF_N6,Min_BF_N7,Min_BF_N8,Aper,RESP,Opt_N,Min_N,Seed_weight,Density,Axial Penetration 1,Axial Penetration 2,bulk density,CO2,Temp,Water,Riego,Nitrogen,mineralization,Organic_matter,end,Tag1,Tag2
ROS,Low,PI571994,LN,0,0,0,1,37.30535714,134.88925,132.2398125,138.7924375,141.705,141.818625,156.1227143,145.6957857,146.4888333,6,4,4,5,6,6,9,13,18,0.147625,0.17575,0.22875,0.294875,0.3395,0.47525,0.533375,0.647428571,0.514065563,0.584989165,0.91000907,0.720266596,0.565096961,1.448127386,1.63610232,1.569006047,0.289434437,0.285260835,0.40599093,0.380233404,0.372153039,0.893372614,0.72839768,0.834422524,0.25,0.005,797.6323472,501.1572153,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,0.64,0.1,0.5,1,0,Maize
NF,High,PI608619,LN,0,0,0,1,43.08385714,140.590875,140.16825,144.898375,145.148,138.0224375,144.8783125,149.2947857,149.2947857,4,4,4,4,4,6,11,18,18,0.114375,0.17125,0.2535,0.384875,0.50025,0.5435,0.566166667,0.566166667,0.712541459,0.732692778,0.699120099,0.835114453,1.295971547,1.384725585,1.375973365,1.375973365,0.302458541,0.237807222,0.440879901,0.432385547,0.618278453,0.846524415,0.670359968,0.670359968,0.25,0.022968593,1030.080308,639.0618434,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,0.64,0.1,0.5,1,0,Maize
ROS,High,PI608619,LN,0,0,0,1,52.56375,134.7145,134.515,122.047,160.242,124.7005,124.7005,124.7005,124.7005,4,4,4,5,6,10,16,12,0,0.114375,0.17125,0.2535,0.384875,0.50025,0.5435,0.566166667,0.566166667,0.368491955,0.58571728,0.67006542,0.9343809,1.170798459,1.163813107,1.184181445,1.184181445,0.282174711,0.33628272,0.452601247,0.5726191,0.412868207,0.642520227,0.554485222,0.554485222,0.25,0.000222741,967.9937552,603.8662675,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,0.64,0.1,0.5,1,0,Maize
NF,Low,PI608619,LN,0,0,0,1,37.77433333,125.8645,125.17825,130.0054167,146.6185833,139.2119167,136.9633333,152.858125,152.858125,5,5,4,5,6,9,15,14,0,0.118,0.169166667,0.2615,0.415166667,0.614,0.648833333,0.610333333,0.610333333,0.368491955,0.58571728,0.67006542,0.9343809,1.170798459,1.163813107,1.184181445,1.184181445,0.282174711,0.33628272,0.452601247,0.5726191,0.412868207,0.642520227,0.554485222,0.554485222,0.25,0.029621702,1063.604152,691.6997001,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,0.64,0.1,0.5,1,0,Maize
ROS,Low,PI608619,LN,0,0,0,1,32.18328571,153.8011429,143.1426429,136.0882857,138.2181429,136.3297143,152.8035833,148.7878333,148.7878333,4,4,4,5,5,10,14,18,0,0.118,0.162428571,0.241,0.394142857,0.552285714,0.4694,0.446333333,0.446333333,0.877925048,0.843839162,0.889530732,0.984088719,2.226007996,1.938691093,1.57886111,1.57886111,0.378360666,0.388732267,0.423040697,0.421339853,0.388277719,0.668908907,0.675805556,0.675805556,0.25,0.019587053,1033.632613,669.0587556,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,0.64,0.1,0.5,1,0,Maize
NF,High,PI471823,HN,0,0,0,1,34.9725,130.4011875,128.9549375,138.738,143.3095625,140.846125,140.2115625,148.1288125,128.619,6,5,5,5,4,6,11,15,19,0.1895,0.140625,0.208875,0.248625,0.33375,0.481625,0.562875,0.713125,0.826659023,0.961511018,1.081901564,0.987067432,0.994076485,0.922143866,1.098540262,1.111430589,0.262340977,0.329238982,0.394098436,0.261932568,0.440173515,0.285106134,0.558959738,0.667069411,0.25,0.003667147,958.8088155,557.9698019,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,High,PI471823,HN,0,0,0,1,38.33225,165.8795,129.35475,133.4795,140.35075,151.6955,143.7805,144.74125,141.13875,6,4,4,5,6,6,10,17,24,0.121,0.217,0.2715,0.422,0.818,1.0005,1.072,1.072,0.278669048,1.008009235,0.877967604,0.516976659,0.619847763,1.067231493,1.387322943,1.387322943,0.185330952,0.249990765,0.168032396,0.442023341,0.252152237,0.901768507,0.606677057,0.606677057,0.25,0.005,923.4030988,542.8894735,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
NF,Low,PI471823,HN,0,0,0,1,37.3875,124.7712143,129.9936429,137.8489286,137.924,150.1058571,133.5712857,142.3910714,137.9555,5,4,4,5,4,6,9,12,16,0.122375,0.18825,0.247875,0.34325,0.451375,0.576375,0.664714286,0.6155,0.67118635,0.692197402,0.709065901,0.786838964,1.088488294,1.027579648,1.412858795,1.926123453,0.03106365,0.438302598,0.242934099,0.282911036,0.357011706,0.457920352,0.589141205,0.488876547,0.25,0.020755068,1030.140954,652.4560008,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,Low,PI471823,HN,0,0,0,1,36.34775,134.209,126.026375,144.3688125,131.77625,137.57025,132.9339375,142.8510714,153.23375,5,5,5,5,6,8,11,15,18,0.126571429,0.188285714,0.245571429,0.360857143,0.403571429,0.603857143,0.62675,0.62675,0.735081211,0.667416579,2.414149536,1.767392908,1.09018925,1.002411231,0.863734994,0.863734994,0.33434736,0.354869135,-0.30443525,0.118607092,0.616667893,0.789017341,0.552765006,0.552765006,0.25,0.003154636,977.7130253,613.1335123,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
NF,High,PI516002,HN,0,0,0,1,41.3865,131.7025833,141.5731667,143.5646667,150.989,154.7860833,141.1355,151.9727,149.5629,3,4,4,4,4,6,8,12,16,0.1358,0.154166667,0.233,0.332166667,0.44,0.543666667,0.6192,0.558,0.493607938,0.529293594,0.779062432,0.575757394,0.763829692,0.84423405,0.699987161,1.174884624,0.324792062,0.279373073,0.352937568,0.327242606,0.438836974,0.432099283,0.492812839,0.488115376,0.25,0.010142866,972.5925418,557.2626711,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,High,PI516002,HN,0,0,0,1,37.83466667,139.378125,143.690125,134.378875,164.291,145.23625,143.005,155.5598333,142.1843333,3,4,4,4,4,7,10,15,18,0.122833333,0.168166667,0.236833333,0.328333333,0.454166667,0.4868,0.5516,0.6384,0.581856928,0.857624256,1.035546531,1.024948282,1.062319926,1.311631235,1.206483253,1.362375675,0.379809739,0.433375744,0.503120136,0.357385051,0.356680074,0.437568765,0.377116747,0.326424325,0.25,0.005759012,959.8687582,548.3910403,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
NF,Low,PI516002,HN,0,0,0,1,36.7561875,132.7749444,133.0827222,134.6217778,140.1705,146.5642222,136.7665556,128.405125,134.6138,3,4,4,4,4,6,11,14,15,0.10375,0.173,0.24175,0.36875,0.474,0.624875,0.592,0.622,0.65952854,0.775977301,1.139687932,1.412876172,1.38679616,1.277878532,1.544577124,1.507362772,0.24772146,0.337022699,0.342812068,0.323373828,0.402632411,0.635871468,0.616565733,0.582637228,0.25,0.023567761,1030.609665,636.9404323,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,Low,PI516002,HN,0,0,0,1,24.88178571,140.3283571,139.5127143,144.1719643,156.7210714,135.8332143,134.5261429,139.4106429,154.9198333,3,4,4,5,6,8,13,17,19,0.114142857,0.149,0.221571429,0.333285714,0.463,0.444285714,0.5678,0.5678,0.765833043,1.237798498,0.60255586,0.70506676,0.763212282,2.058511905,1.463823283,1.463823283,0.365024099,0.239915787,0.342586997,0.402361812,0.285359147,0.091488095,0.688976717,0.688976717,0.25,0.004547212,967.2387174,575.9442692,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
NF,High,PI571439,HN,0,0,0,1,52.04957143,136.6215714,132.8665714,136.3918214,148.5051429,135.7531429,146.0027143,147.3416429,140.8385,5,4,4,4,4,5,5,8,11,0.11,0.153714286,0.202285714,0.261142857,0.337428571,0.450428571,0.411833333,0.559333333,0.502892528,0.654427293,0.498565878,0.738565175,0.88145987,0.968619633,1.158048536,0.954486864,0.281964615,0.228715564,0.33800555,0.308863396,0.372825845,0.415094652,0.306284797,0.262179803,0.25,0.000240097,953.1247552,562.7826666,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,High,PI571439,HN,0,0,0,1,47.169,115.2245,121.17,145.8395,140.8261667,141.7895,139.41925,135.347,135.73625,4,4,4,4,6,7,11,13,18,0.153,0.20775,0.27975,0.35375,0.4005,0.6015,0.69075,0.776666667,0.816739372,0.583279125,0.804002878,0.79549093,0.709948354,1.258492931,1.760281078,1.113262107,0.152260628,0.310720875,0.275497122,0.17300907,0.513551646,0.362507069,0.237218922,0.274071227,0.25,0.035182138,1075.508993,691.2835592,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
NF,Low,PI571439,HN,0,0,0,1,31.872375,124.7393333,125.75325,124.4716667,128.2585833,133.5874167,135.8645833,145.8406667,145.0005,4,4,4,4,4,5,7,10,13,0.1,0.153,0.2114,0.3294,0.4046,0.4512,0.6594,0.75625,0.361665338,0.738826118,1.071836572,0.91151374,1.794853956,1.028218416,0.858237904,1.325678083,0.172734662,0.319173882,0.423763428,0.47408626,0.359546044,0.330981584,0.527362096,0.851821917,0.25,0.010122259,984.2262951,589.4491577,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
ROS,Low,PI571439,HN,0,0,0,1,20.0805,128.9124167,132.3881667,137.742,137.2445,132.0520833,153.3254167,134.5236667,129.7652,4,4,4,4,5,6,8,12,15,0.117833333,0.190666667,0.211,0.275833333,0.341166667,0.421833333,0.624666667,0.825833333,0.693015337,0.978297749,0.834621456,0.568551306,1.107119483,0.980695723,1.344286494,1.444906668,0.366984663,0.267035584,0.329378544,0.272782027,0.614880517,0.480304277,0.663046839,0.640759998,0.25,0.005,854.9921428,525.5742361,0.35,0.38,4000,4000,0 1.25 -20 1.3 -45 1.4 -60 1.4 -70 1.4 -95 1.4 -120 1.4 -140 1.4 -160 1.4 -170 1.4,421,1,0 0.61345 1 0.7186 2 0.621925 3 0.68365 4 0.6948 5 0.69345 6 0.774775 7 0.7924 8 0.60655 9 0.734975 10 0.87 11 0.75255 12 0.7048 13 0.6543 14 0.61105 15 0.678925 16 0.7195 17 0.76035 18 0.73885 19 0.5974 20 0.6127 21 0.588375 22 0.4832 23 0.699625 24 0.610075 25 0.8337 26 0.55625 27 0.679675 28 0.534625 29 0.5239 30 0.38025 31 0.477875 32 0.44805 33 0.403825 34 0.543 35 0.5139 36 0.481 37 0.539125 38 0.407525 39 0.478775 40 0.47945 41 0.39345 42 0.375775 43 0.398325 44 0.43435 45 0.65975 46 0.55795 47 0.482575 48 0.5946 49 0.630825 50 0.5106 51 0.5879 52 0.85615 53 0.736125 54 0.5372 55 0.6379 56 0.517275 57 0.532775 58 0.5132 59 0.635075 60 0.68665,2,3,1,1,1,0,Maize
